dataset,model,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_seconds,mean_inference_seconds
Airline,Chronos-2,1,13,13.852603266609544,10.606276292067308,0.3636399507728032,0.9230769230769232,0.0,0.0178237923044854
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",1,13,10.03446395495006,8.50459530559631,0.2927226005774429,0.9230769230769232,0.289663184622231,
Airline,Naive,1,13,48.513281290162816,40.76923076923077,1.3924771096431374,0.0,0.0,1.296923101808016e-05
Airline,PatchTST,1,13,87.73722289707808,67.89648907001202,2.330234026268656,0.5384615384615384,0.821804538458729,0.0010535153828991
Airline,Chronos-2,3,13,22.17024892215352,16.496431790865383,0.562060116029945,1.0,0.0,0.0178237923044854
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",3,13,18.0793550577392,13.364993361506537,0.455901512707991,1.0,0.289663184622231,
Airline,Naive,3,13,96.95121691623298,76.76923076923077,2.6376097449184104,0.0,0.0,1.296923101808016e-05
Airline,PatchTST,3,13,89.7498296745643,71.96363713191106,2.4858584287267687,0.4615384615384615,0.821804538458729,0.0010535153828991
Airline,Chronos-2,12,13,26.428231366771264,22.86082810621995,0.7886000509860038,1.0,0.0,0.0178237923044854
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",12,13,21.25386843791049,18.913375958317825,0.6514390119612603,1.0,0.289663184622231,
Airline,Naive,12,13,52.24204024758958,49.38461538461539,1.693633852570854,0.0,0.0,1.296923101808016e-05
Airline,PatchTST,12,13,102.05587966195134,80.89342557466946,2.7651922103850817,0.4615384615384615,0.821804538458729,0.0010535153828991
Electricity-CISO,Chronos-2,1,84,554.7672363229608,430.1655738467262,0.2452583132304916,0.7976190476190477,0.0,0.6386781202413009
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",1,84,940.7677811350796,719.7194734626054,0.410205123192059,0.6547619047619048,28.99204069285493,
Electricity-CISO,Naive,1,84,1036.5176875802297,791.0595238095239,0.4508576576398839,0.0,0.0,1.3950006437620946e-05
Electricity-CISO,PatchTST,1,84,2742.147561088668,1911.075544084821,1.0877095435250836,0.6071428571428571,1.9126566571469,0.0011457904710412
Electricity-CISO,Chronos-2,24,84,1558.8431948257005,1190.547014508929,0.6780148245372044,0.6547619047619048,0.0,0.6386781202413009
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",24,84,3102.451284602406,2409.212804443279,1.3723774712960488,0.6071428571428571,28.99204069285493,
Electricity-CISO,Naive,24,84,1579.5395576830972,1267.857142857143,0.7219853484705245,0.0,0.0,1.3950006437620946e-05
Electricity-CISO,PatchTST,24,84,2859.0314711891783,2070.6043061755954,1.1787303398197229,0.6190476190476191,1.9126566571469,0.0011457904710412
Electricity-CISO,Chronos-2,168,84,2452.865333875125,1834.954031808036,1.0456290699702353,0.6904761904761905,0.0,0.6386781202413009
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",168,84,2859.584054079636,2165.605001367443,1.2339556904076512,0.5238095238095238,28.99204069285493,
Electricity-CISO,Naive,168,84,2859.051291200332,2165.214285714286,1.2337367306899345,0.0,0.0,1.3950006437620946e-05
Electricity-CISO,PatchTST,168,84,2854.2630961774294,2317.8462844122023,1.3202692332267414,0.6428571428571429,1.9126566571469,0.0011457904710412
SPY,"ARIMA(0,1,2)+drift",1,380,4.373009479246447,3.14375419207462,3.250326449745297,0.4973684210526315,2.1587474636785613,
SPY,Chronos-2,1,380,7.338591275692812,5.8438334816380575,5.974448019071219,0.4657894736842105,0.0,0.5605374439481622
SPY,Naive,1,380,4.358032489767754,3.127383222078022,3.231709026145256,0.0026315789473684,0.0,2.5391049290958205e-05
SPY,PatchTST,1,380,37.37554821558554,31.944188087864926,32.40558415534922,0.4552631578947368,7.990199388423934,0.0013023063142195
SPY,"ARIMA(0,1,2)+drift",5,380,10.079375006854596,7.20860985879597,7.34745617212971,0.6342105263157894,2.1587474636785613,
SPY,Chronos-2,5,380,11.60340537749513,8.926361365067333,9.115902328976569,0.4131578947368421,0.0,0.5605374439481622
SPY,Naive,5,380,10.186579195654392,7.405818658126029,7.553492791656237,0.0,0.0,2.5391049290958205e-05
SPY,PatchTST,5,380,38.51698195995799,32.91617098356548,33.39915182698858,0.4289473684210526,7.990199388423934,0.0013023063142195
SPY,"ARIMA(0,1,2)+drift",20,380,19.699481443502528,14.751498776031603,15.148208392291249,0.7026315789473684,2.1587474636785613,
SPY,Chronos-2,20,380,20.95182485248572,16.519025501451996,16.899740537586684,0.4421052631578947,0.0,0.5605374439481622
SPY,Naive,20,380,20.36564306982636,15.74527238544665,16.1738141396268,0.0,0.0,2.5391049290958205e-05
SPY,PatchTST,20,380,41.89237976387586,35.832579241300884,36.455032095977415,0.3868421052631579,7.990199388423934,0.0013023063142195
